model,condition,accuracy,macro_f1,coverage,accepted_accuracy,macro_f1_drop_from_clean
rule_only,clean,0.25,0.25,0.25,1.0,0.0
rule_only,case_and_punctuation,0.25,0.25,0.25,1.0,0.0
rule_only,whitespace,0.25,0.25,0.25,1.0,0.0
rule_only,hinglish_spelling,0.25,0.25,0.25,1.0,0.0
rule_only,digit_masking,0.25,0.25,0.25,1.0,0.0
rule_only,ocr_confusion,0.125,0.125,0.125,1.0,0.125
word_tfidf_logistic_regression,clean,0.375,0.33333333,1.0,0.375,0.0
word_tfidf_logistic_regression,case_and_punctuation,0.5,0.5,1.0,0.5,-0.16666667
word_tfidf_logistic_regression,whitespace,0.375,0.33333333,1.0,0.375,0.0
word_tfidf_logistic_regression,hinglish_spelling,0.375,0.33333333,1.0,0.375,0.0
word_tfidf_logistic_regression,digit_masking,0.375,0.33333333,1.0,0.375,0.0
word_tfidf_logistic_regression,ocr_confusion,0.375,0.33333333,0.875,0.42857143,0.0
character_tfidf_logistic_regression,clean,0.75,0.66666667,1.0,0.75,0.0
character_tfidf_logistic_regression,case_and_punctuation,0.75,0.66666667,1.0,0.75,0.0
character_tfidf_logistic_regression,whitespace,0.75,0.66666667,1.0,0.75,0.0
character_tfidf_logistic_regression,hinglish_spelling,0.75,0.66666667,1.0,0.75,0.0
character_tfidf_logistic_regression,digit_masking,0.75,0.66666667,1.0,0.75,0.0
character_tfidf_logistic_regression,ocr_confusion,0.625,0.58333333,1.0,0.625,0.08333334
word_character_tfidf_logistic_regression,clean,0.75,0.66666667,1.0,0.75,0.0
word_character_tfidf_logistic_regression,case_and_punctuation,0.75,0.66666667,1.0,0.75,0.0
word_character_tfidf_logistic_regression,whitespace,0.75,0.66666667,1.0,0.75,0.0
word_character_tfidf_logistic_regression,hinglish_spelling,0.75,0.66666667,1.0,0.75,0.0
word_character_tfidf_logistic_regression,digit_masking,0.75,0.66666667,1.0,0.75,0.0
word_character_tfidf_logistic_regression,ocr_confusion,0.625,0.58333333,1.0,0.625,0.08333334
calibrated_word_character_tfidf,clean,0.5,0.5,1.0,0.5,0.0
calibrated_word_character_tfidf,case_and_punctuation,0.625,0.58333333,1.0,0.625,-0.08333333
calibrated_word_character_tfidf,whitespace,0.5,0.5,1.0,0.5,0.0
calibrated_word_character_tfidf,hinglish_spelling,0.5,0.5,1.0,0.5,0.0
calibrated_word_character_tfidf,digit_masking,0.5,0.5,1.0,0.5,0.0
calibrated_word_character_tfidf,ocr_confusion,0.5,0.5,1.0,0.5,0.0
